installation,service,jurisdiction,workforce,notes
naval_base_san_diego,navy,san_diego,major,"32nd Street; principal surface-fleet homeport"
naval_base_point_loma,navy,san_diego,major,"Submarine base and consolidated Point Loma commands"
naval_air_station_north_island,navy,coronado,major,"Carrier homeport; the installation behind the 6th-cycle 80.5/19.5 Coronado-San Diego split"
naval_amphibious_base_coronado,navy,coronado,major,"Naval Special Warfare and expeditionary commands"
silver_strand_training_complex,navy,coronado,minor,"Training land; 'at most 99 active duty jobs' per the adopted Plan p. 14 -- one of the two sites the draft misattributed"
naval_outlying_landing_field_imperial_beach,navy,imperial_beach,minor,"Helicopter outlying field; the other misattributed site"
naval_medical_center_san_diego,navy,san_diego,major,"Balboa hospital"
navwar_old_town_campus,navy,san_diego,major,"NAVWAR/NIWC Pacific; office campus, few quarters"
marine_corps_recruit_depot_san_diego,marine_corps,san_diego,major,"Recruit training"
marine_corps_air_station_miramar,marine_corps,san_diego,major,"3rd Marine Aircraft Wing"
marine_corps_base_camp_pendleton,marine_corps,unincorporated,major,"125,000 acres; I MEF; largest barracks population in the county"
uscg_sector_san_diego,coast_guard,san_diego,major,"Harbor Drive air and boat station"
