jurisdiction,very_low,low,moderate,above_moderate
carlsbad,1311,784,749,1029
chula_vista,2750,1777,1911,4667
coronado,312,169,159,272
del_mar,37,64,31,31
el_cajon,481,414,518,1867
encinitas,469,369,308,408
escondido,1864,1249,1527,4967
imperial_beach,225,123,183,798
la_mesa,859,487,577,1874
lemon_grove,295,166,193,705
national_city,645,506,711,3575
oceanside,1268,718,883,2574
poway,468,268,241,342
san_diego,27549,17331,19319,43837
san_marcos,728,530,542,1316
santee,406,200,188,425
solana_beach,316,159,160,240
unincorporated,1834,992,1165,2709
vista,515,321,369,1356
