jurisdiction,total_households,very_low,low,moderate,above_moderate
carlsbad,42926,6981,4644,5940,25360
chula_vista,77804,19459,11987,13643,32715
coronado,8986,1506,1109,1442,4929
del_mar,2258,430,102,248,1478
el_cajon,32937,12434,5754,5615,9135
encinitas,23695,4287,2168,3182,14058
escondido,45217,13880,8239,8245,14853
imperial_beach,9044,2888,2105,1726,2325
la_mesa,23767,6368,4468,4609,8322
lemon_grove,8465,2316,1643,1730,2776
national_city,15870,6436,3271,2848,3315
oceanside,61480,16148,11348,11297,22687
poway,15797,2418,1675,2281,9422
san_diego,490219,119014,75283,82616,213305
san_marcos,29125,7707,4212,5043,12163
santee,19517,3493,2812,3683,9528
solana_beach,5750,883,698,854,3315
unincorporated,159642,35996,26493,27598,69555
vista,30629,9016,5746,6112,9754
